Date,Last Price
11/09/2018,7972.47
10/09/2018,7924.16
07/09/2018,7902.54
06/09/2018,7922.73
05/09/2018,7995.17
04/09/2018,8091.25
31/08/2018,8109.54
30/08/2018,8088.36
29/08/2018,8109.69
28/08/2018,8030.04
27/08/2018,8017.9
24/08/2018,7945.98
23/08/2018,7878.46
22/08/2018,7889.1
21/08/2018,7859.17
20/08/2018,7821.01
17/08/2018,7816.33
16/08/2018,7806.52
15/08/2018,7774.12
14/08/2018,7870.9
13/08/2018,7819.71
10/08/2018,7839.11
09/08/2018,7891.78
08/08/2018,7888.33
07/08/2018,7883.66
06/08/2018,7859.68
03/08/2018,7812.02
02/08/2018,7802.69
01/08/2018,7707.29
31/07/2018,7671.79
30/07/2018,7630
27/07/2018,7737.42
26/07/2018,7852.19
25/07/2018,7932.24
24/07/2018,7840.77
23/07/2018,7841.87
20/07/2018,7820.2
19/07/2018,7825.3
18/07/2018,7854.44
17/07/2018,7855.12
16/07/2018,7805.72
13/07/2018,7825.98
12/07/2018,7823.92
11/07/2018,7716.61
10/07/2018,7759.2
09/07/2018,7756.2
06/07/2018,7688.39
05/07/2018,7586.43
03/07/2018,7502.67
02/07/2018,7567.69
29/06/2018,7510.3
28/06/2018,7503.68
27/06/2018,7445.09
26/06/2018,7561.63
25/06/2018,7532.01
22/06/2018,7692.82
21/06/2018,7712.95
20/06/2018,7781.52
19/06/2018,7725.59
18/06/2018,7747.03
15/06/2018,7746.38
14/06/2018,7761.04
13/06/2018,7695.7
12/06/2018,7703.79
11/06/2018,7659.93
08/06/2018,7645.51
07/06/2018,7635.07
06/06/2018,7689.24
05/06/2018,7637.86
04/06/2018,7606.46
01/06/2018,7554.33
31/05/2018,7442.12
30/05/2018,7462.45
29/05/2018,7396.59
25/05/2018,7433.85
24/05/2018,7424.43
23/05/2018,7425.96
22/05/2018,7378.46
21/05/2018,7394.04
18/05/2018,7354.34
