0.236843651,-0.792738985,-0.79279166,-2.648569918,-1.032947007,-2.648283243,-0.932649109,-2.643911817,-0.932523498,-2.655911625,-1.106452095,-2.656058593,-1.046982469,-2.645320206,-1.047154605
0.253612806,-0.436617583,-0.79279166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.267691582,-0.493752325,-0.436726736,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.265014264,-0.735881596,-0.493852417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.294438645,-0.167862412,-0.735943288,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290612039,-0.711474522,-0.168014188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.271243927,-0.381424312,-0.711540085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.259176404,-0.536464705,-0.381542219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.113373567,-0.624662996,-0.664674842,-0.00620148,-0.426652255,-0.011680793,0.862868042,-0.000659026,0.144411305,0.004863798,-0.258033682,0.014525759,0.51729406,-0.004501244,-0.062406384
0.10796669,-0.677914795,-0.624742327,-0.00589691,-0.567486802,-0.008533979,-2.095297493,-0.003220384,0.719198821,0.004036935,-0.283256252,0.014381316,0.04343292,-0.006003622,-0.394237447
0.140212051,-0.107954138,-0.67798568,-0.001461252,-0.139847937,-0.002858788,-0.633097209,-5.19299E-05,2.812997397,0.003319243,-0.189800985,0.0104767,-0.118519652,-0.003682686,-0.424074377
0.158404755,-0.406386093,-0.108115415,0.003519068,0.842949428,-0.000659026,0.144411305,0.007712928,2.693760094,0.003627384,-0.116427336,0.005937229,-0.184870559,0.001342628,0.134541596
0.17811243,-0.374213131,-0.406500041,0.005338308,2.416115449,-0.003220384,0.719198821,0.0139227,0.251688057,0.004427029,-0.09607401,0.003876956,-0.302039957,0.004976141,1.040622535
0.159567103,-0.398897559,-0.374332181,0.005368612,0.813194531,-5.19299E-05,2.812997397,0.010794251,-0.838802442,0.004022366,-0.120101593,0.003416044,-0.338137935,0.004630582,0.912999856
0.163720211,-0.704540694,-0.399012694,0.005329748,-0.167693484,0.007712928,2.693760094,0.002959317,-0.361069285,0.001785538,-0.034438558,-0.000274006,-0.091449155,0.003850834,0.064952708
0.193000932,-0.170913296,-0.704607356,0.0081167,-0.349617305,0.0139227,0.251688057,0.002403316,0.377988414,0.000881765,0.124530722,-0.004501244,-0.062406384,0.006275575,0.026936287
0.207471511,-0.485431731,-0.171064588,0.009109793,-0.158718711,0.010794251,-0.838802442,0.00745223,1.135574242,0.001589506,0.296711716,-0.006003622,-0.394237447,0.009194663,-0.13584739
0.197911525,-0.589716503,-0.485533143,0.006367289,0.048428915,0.002959317,-0.361069285,0.009736935,-1.116286774,0.002190617,0.302197158,-0.003682686,-0.424074377,0.008051591,-0.276630486
